,id,name,category,email,description,established,telegram_url,instagram_url
25,162,Business Club,professional,businessclub@nu.edu.kz,"We provide students with opportunities to connect with industry leaders, develop practical, career-building skills, and build strong professional networks beyond university. Through hands-on workshops, exclusive networking events, and collaborative projects, we empower students to take charge of their careers and become future leaders in their fields.


**Location:** 27 Block 150 Room, Dormitory


## Activities
- Workshops
- Business Forums
- Business Talks


## Achievements
- NU Awards Professional Development Club of the Year (2024)


## Entry Requirements
- Strong interest in business and leadership
- Proactive and collaborative mindset
- Reliable attendance at meetings/events
- No business experience required - all are welcome!",2024-01-01,,https://www.instagram.com/nubusinessclub/
26,135,Career and Advising Center,academic,cac@nu.edu.kz,"On behalf of the CAC team, it is a pleasure to welcome you at the website of the Nazarbayev University Career and Advising Center!

CAC strives to provide services to aid in the professional development of our students and alumni.
Our future is the youth of this country! Career choice starts from family taken up by University and final product is dealt by an Employer. Therefore, it is important that our joint efforts and support are consistent and cooperative.
The Career and Advising Center promotes lifelong skills through our Career workshops and Professional Development Programs. The Center establishes partnerships with internship providers and employers to help in recruiting NU students and alumni through on-campus recruitment events, companies’ presentations and field trips, etc.
The staff members of the Center want to help the students learn about their skills and interests, and articulate them confidently in resumes, cover letters, interviews; define and explore career options th",2025-08-25,,
27,38,Case Club,academic,caseclub@nu.edu.kz,Official Case Club at Nazarbayev University.,2020-09-01,https://t.me/caseclub,https://www.instagram.com/caseclub
28,79,Chess Club,sports,chess@nu.edu.kz,"NU Chess Club works to make chess more popular and build a strong, friendly community of people who enjoy the game. We bring together students and guests from the university and the city through tournaments, chess events, and lessons. NU Chess Club is the main force behind all chess activities at our university. We organize tournaments, lessons, quizzes, tournament broadcasts, and many other fun events. We welcome members who share our love for chess and want to help us grow the game.


**Location:** 27 Block 151 Room, Dormitory


## Activities
- Chess Tournaments
- Chess Lessons
- Chess Events
- Collaboration with Other Clubs


## Achievements
- Organized events for 70+ people
- Top 5 Sport Contribution Nomination 2024
- 1st place in the Republican Chess tournaments among Universities (NU Chess Team)


## Entry Requirements
- All levels are welcome
- Flexibility & Adaptation
- Communication & Collaboration",2015-09-01,https://t.me/chess,https://www.instagram.com/nu_chessclub/
29,105,Children’s Development Fund,social,cdf@nu.edu.kz,"Children's Development Foundation (СDF) is a non-profit charity organization aiming to help children from socially vulnerable families prioritizing thoughtful and effective charity, which has a long-term positive influence. We believe that real change comes from compassion paired with action. That’s why we lead a variety of projects - both on and off campus - focused on providing opportunities, educational support, and essential resources to those who need them most. By joining our team you will gain lots of skills: hard and soft ones, become a part of our family and help those in need by providing opportunities. Don't let your heart get cold with CDF!


**Location:** 22 Block 124 Room, Dormitory


## Activities
- Warm Winter project
- Mentoring program
- Garage/Charity Sales
- Charity Trail Run


## Achievements
- Raised 21.5 million tenge for charity (Fall’24–Spring’25)
- Warm Winter project provided winter clothing to 213 children
- 51 SVC students joined the Mentoring Program
- Collaboration with 100+ partners/sponsors and 60 student clubs


## Entry Requirements
- No experience needed
- Open to learning
- Commitment & Responsibility",2020-09-01,https://t.me/cdf,https://www.instagram.com/cdf_kz/
30,36,Chinese Club,academic,chineseclub@nu.edu.kz,"Chinese Club facilitates opportunities to engage in activities tied to Chinese culture during few and far between holiday themed events such as the Lunar New Year. For students with experience in speaking Chinese, there are weekly speaking sessions dedicated for speaking practices on a multitude of topics.


**Location:** 26 Block 128 Room, Dormitory


## Activities
- Weekly Chinese speaking sessions
- Cultural events on holidays such as Lunar New Year


## Achievements
- Many more to come!


## Entry Requirements
- All levels are welcome!",2020-09-01,https://t.me/nu_chinese_club,https://www.instagram.com/nu_chinese_club/
31,41,Computer Graphics Club,academic,cg_club@nu.edu.kz,Official Computer Graphics Club at Nazarbayev University.,2020-09-01,https://t.me/cg_club,https://www.instagram.com/cg_club
32,82,Contemporary Dance,sports,contemporary.dance@nu.edu.kz,"Contemporary dance blends various dance styles including modern, jazz, and ballet techniques to express emotion and tell stories through movement. NU Contemporary Dance Club is a cultural entity, existing in NU since 2011. It’s a creative space for students to dance, learn new techniques and get used to stage performances.
The club members actively participate in different university events and contribute to the cultural life of the university. Our club welcomes all members and is willing to help students to create precious memories through university life. It's not just a club - it's a family.


**Location:** 26 Block 103 Room, Dormitory


## Activities
- Trainings three times a week (dance skills, stunts, acrobatics, stretching)
- Organization of Grand Concert every year (”Avatar: The last Airbender” theme - 2023, “Hunger Games” theme - 2024, “Alice in Wonderland” theme - 2025)
- Dance Workshops led by professional dancers
- Artistic photoshoots & Engaging and Creative Teambuildings


## Achievements
- Performance as a PRO-nominee at one of the biggest dance contest in Kazakhstan “Choreo 2025”
- Organization of 3 Grand Concerts that attracted a total of 2,000+ people
- TOP 3 Dance Clubs of the 2025 by NU Awards Report
- More than 60,000 views in total of the performance videos on YouTube


## Entry Requirements
- No skills are required, but there will be auditions.",2020-09-01,https://t.me/contemporary.dance,https://www.instagram.com/nu_contemporary/
33,85,Dance Club,sports,danceclub@nu.edu.kz,"Kiye is a dance club where Kazakh culture and traditions come alive through choreography. Members express heritage through movement, storytelling, and team collaboration, while building strong bonds of friendship and shared vision. Since 2023, Kiye QAZAQ has created performances like “Kiye Kyz” that showcase bravery, grace, and cultural pride, bringing Kazakh stories to the stage and uniting our community.


**Location:** 23 Block, Yoga room, Dormitory


## Activities
- Creating choreographies reflecting Kazakh history
- Performances at cultural events
- Dance performances based on stories
- Team-building games
- Shadow play


## Achievements
- Performed to full audience in Main and Cinema Halls
- ""KIYE QYZ"" Dance-Drama performance
- Performance at the NU Graduation Ceremony
- Performances on various forums


## Entry Requirements
- Passionate and inspired to contribute
- Motivated to engage with the club community
- Willingness to join one of the main departments: HR, Marketing, Technical, Finance, Script-writing
- Open to all NU students",2020-09-01,https://t.me/danceclub,https://www.instagram.com/nu_kiye/
34,47,Economic Leaders Society,academic,els@nu.edu.kz,"The Economic Leaders Society (ELS) is an academic club established in 2014, dedicated to the advancement of economic learning, leadership development, and community engagement. Rooted in the values of academic excellence, innovation, and collaborative growth, ELS empowers students to bridge classroom theories with real-world practice.

Our main focus is Economics. From academic support and research to career development and competitive events - we do it all.


**Location:** 26 Block 129 Room, Dormitory


## Activities
- Mid-term preparation nights
- 3 office tours for NU students (Development Bank of Kazakhstan, BI group, KPMG)
- Networking events
- Workshops-lectures by Guests from: NU alumni, National Bank of Kazakhstan, economics RA students, AFSA, Deloitte


## Achievements
- The first ever econometrics hackathon in Kazakhstan (Metricon 2025), sponsored by the National Bank of Kazakhstan and AERC
- NU Dasco consulting group olympiad with a chance to win a paid internship in Dasco consulting group
- ELS - MNU branch
- Cash Clash in collaboration with EY Kazakhstan


## Entry Requirements
- Interest in Economics
- Leadership Potential
- Team Spirit
- Passion For Growth",2020-09-01,https://t.me/httDC0YQhkbRpkYjNi,https://www.instagram.com/nu_els/
35,119,E.Quality,social,e.quality@nu.edu.kz,Official E.Quality at Nazarbayev University.,2020-09-01,https://t.me/e.quality,https://www.instagram.com/e.quality
37,97,Fencing Club,sports,fencingclub@nu.edu.kz,"NU Fencing Club was founded in 2015 by a professional fencer and several professors in our university, and rebranded after quarantine by current members. Throughout this journey, members from NU Fencing has attended many tournaments and all returned with honors.
During 2024-2025 academic year, NU Fencing Club attended tournaments in city, national, and even international level, and won many places representing the club.
Join us to train, compete, and grow together!


**Location:** Sport Center, 2nd Floor, Fencing Hall


## Activities
- We hold weekly épée trainings every Tuesday and Thursday from 18:00 to 20:00, and Saturday from 12:00 to 14:00.
- Beyond fencing, our club runs through the dedication of student-led departments: Tournaments, PR/HR, External Affairs, Treasury, Events, Training, and Armoury - giving every member a chance to contribute, lead, and grow.


## Achievements
- Platinium International Fencing Cup, Female Individual, Bronze: Madina Yernur; Female Team, Silver: Madina Yernur, Fariza Idrissova
- Platinium International Fencing Cup, Male 5th place: Aldiyar Bolatov, Female 6th place: Aiganym Shaken
- For bianual Astana City Tournament organized by Diestra Fencing, 6 bronze medal (Timur Ni, Nurassyl Assylkhanuly, Gulnaz Ingkar, Madina Yernur, Kamila Orazbek, Ratmir Kanatov), 3 Silver (Aigerim Tulegenova twice, Aldiyar Baimukhametov), and 1 Gold won by Danial Akhat
- Republican Championship in Astana 2025: Danial Akhat and Alua Dosbergenova TOP 30


## Entry Requirements
- We open recruitment once per semester, which includes an application, interview, and tryouts.
- Selection is based on overall performance and fit.
- We look for members who are physically prepared, disciplined, and committed to attending trainings and contributing to club work.",2020-09-01,https://t.me/+zQOm0QG6IBY0ZTUy,https://www.instagram.com/nu_fencing/
38,99,Fitness and Nutrition,sports,fitnessclub@nu.edu.kz,"NU Fitness & Nutrition Club is a student-led organization for those passionate about physical activity, exercise, and a balanced lifestyle. The club promotes healthy living through a variety of activities such as group classes, workshops, and fitness events. It provides a supportive environment to meet peers, participate in wellness programs, and stay motivated while pursuing academic goals. Members can engage in workouts like Strong Nation, Tabata, HIIT, Barre, Mix sessions, or join workshops on exercise and nutrition for better well-being.


**Location:** Nazarbayev University


## Activities
- STRONG Nation® – body weight, conditioning, cardio, and plyometric training synced to music
- TABATA – high-intensity interval training with all-out efforts and short recovery periods
- HIIT – alternating short bursts of intense activity with rest or recovery
- BARRE – full-body toning workout combining lower body, core, and strength exercises
- NUTRITION – exploring the science of nutrients, health, and disease prevention
- MIX WORKOUTS – blending strength training, cardio, and flexibility into dynamic routines


## Achievements
- At about 25 group programs available.
- More than 70 classes every month.
- Our classes are led by experienced and professional coaches who easily connect with each group member, regardless of their fitness level.
- Programs for all physical qualities collected in one schedule, which combine wellness, functional, circuit, strength training blocks, cardio elements, dance, stretching, yoga, pilates, soft fitness, additional bonus classes on meditation, nutrition, master classes in various areas with experts, free training, online classes, teambuildings and much more.
- Our club held many events - it were really an exciting moments. We organized events, including wellness & mind & body activities, concerts, fitness conventions, retreats, nutrition workshops. We support and participate in various charity events and stress relief days. Also we are conducting warm up workouts annual arrangements within orientation week.
- These aren't just workouts with a standard set of programs. They're a unique and special atmosphere of a sports community of like-minded people. Here, you'll immerse yourself in an atmosphere of positivity and self-improvement!


## Entry Requirements
- All levels and ages welcome",2020-09-01,https://t.me/fitnessclub,https://www.instagram.com/NU_FitnessMix/
39,12,French Club,academic,french_club@nu.edu.kz,Official French Club at Nazarbayev University.,2020-09-01,https://t.me/french_club,https://www.instagram.com/french_club
40,165,Game Development Club,art,nugamedevclub2025@gmail.com,"NU Game Development Club fosters a community of students passionate about creating video games. The club provides a platform to learn, collaborate, and develop games while exploring programming, art, design, and storytelling. Activities include workshops, game jams, guest lectures, and esports tournaments. The long-term vision is to empower members to form independent GameDev studios and build a shared knowledge base for future learners.


## Activities
- Large-Scale Game Jams
- Game Releases
- Pitching Sessions
- Idea Crunching (Mini Game Jams)
- Analytics and Research


## Achievements
- NU GDC Summer Game Jam 2025 - the largest game jam in Kazakhstan
- Partnership with Astana Hub and leading game development companies
- Participation in Digital Bridge 2025


## Entry Requirements
- Portfolio
- Hands-on experience
- Passion",2024-01-01,,https://www.instagram.com/nu_gdc/
41,15,German Club,academic,germanclub@nu.edu.kz,"The NU German Club is a vibrant community of students passionate about the German language and culture. Each year we host events such as Easter celebrations, Oktoberfest, and regular speaking club sessions to help NU students improve their German in a fun and supportive environment. We also organize team-building activities to strengthen connections and info sessions for students interested in pursuing education in Germany. Whether you’re a beginner or fluent speaker, there’s a place for you in our club to learn, connect, and celebrate all things German.


## Activities
- Oktoberfest
- Easter
- Info-sessions on studying in Germany
- Speaking club


## Achievements
- Many to come!


## Entry Requirements
- Active and outgoing NU students
- All levels are welcome",2020-09-01,https://t.me/germanclub,https://www.instagram.com/nu_german_club/
42,6,Google Developers Club,academic,gdsc@nu.edu.kz,"GDG (Google Developer Group) at a university is a student-run tech community supported by Google, aimed at helping students learn, share, and grow their skills in software development. It organizes activities like coding workshops, tech talks, hackathons, and networking events. The group also provides a platform for students to collaborate on projects, meet industry professionals, and prepare for careers in technology.


## Activities
- Hackathons
- Workshops


## Achievements
- Official Google Partners
- Organized Hackathons with Big Companies


## Entry Requirements
- Be a current student at the university
- Interest in technology and learning - no need to be an expert
- Willingness to participate in events, workshops, or projects",2020-09-01,https://t.me/gdsc_nu,https://www.instagram.com/nu.gdg/
43,112,Green Society,social,green.society@nu.edu.kz,Official Green Society at Nazarbayev University.,2020-09-01,https://t.me/green.society,https://www.instagram.com/green.society
47,21,iGem Club,academic,igem@nu.edu.kz,"iGEM NU Kazakhstan is a multidisciplinary student team that represents Kazakhstan at the international iGEM competition. Bringing together students from biology, medicine, engineering, AI, and design, the team develops synthetic biology projects tackling real-world challenges in health, diagnostics, and the environment. Beyond research, iGEM NU runs STEM outreach programs, summer camps, biohackathons, and awareness campaigns to inspire future researchers and promote biomedical innovation in Kazakhstan.


**Location:** 27 Block 144 Room, Dormitory


## Activities
- Designing synthetic biology projects for iGEM competition
- Conducting lab-based research and data analysis
- Organizing national STEM outreach events and biohackathons
- Hosting awareness and charity campaigns
- Running workshops, summer camps, and public lectures on biotechnology
- Collaborating with scientists, companies, and universities worldwide


## Achievements
- 🥇2017, 2018, 2021 (Top-10), 2022, 2024 (Top-5 Oncology); 🥈2015, 2023; 🥉2014, 2019 at the iGEM Grand Jamboree
- Finalists at ABC Incubation X TCA 8.0 (Top 10 Teams)
- ABC Incubation XIV (Pitch Guru winner, Top 3)


## Entry Requirements
- Interest in biology, medicine, or engineering
- Willingness to collaborate across disciplines
- Commitment to research and outreach",2020-09-01,https://t.me/igem,https://www.instagram.com/igem.nu_kazakhstan/
48,46,IMechE Student Chapter,academic,imeche@nu.edu.kz,Official IMechE Student Chapter at Nazarbayev University.,2020-09-01,https://t.me/imeche,https://www.instagram.com/imeche
