,id,name,category,email,description,established,telegram_url,instagram_url,description_clean,interest_areas
10,5,American Society of Chemical Engineers Student Chapter,academic,asce@nu.edu.kz,"Official AIChE Student Chapter at Nazarbayev University (the American Institute of Chemical Engineers) is the professional home for students focused on the large-scale application of chemical and biological processes. While ACS focuses on the fundamental science and ""lab-scale"" chemistry, AIChE is dedicated to engineering, optimization, and industrial production.
Core Focus & Activities
Chem-E-Car Competition: Their most famous international activity. Students design and build a shoebox-sized car powered by a chemical reaction that must carry a specific load over a given distance and stop precisely using another reaction.
Industrial Site Visits: The chapter organizes trips to major industrial plants (such as oil refineries or pharmaceutical facilities) to give students a first-hand look at large-scale operations and safety protocols.
K-6 Outreach: Similar to the global AIChE mission, the NU chapter engages in ""Stem-bassador"" activities, teaching basic engineering principles to younger students through hands-on experiments.
Professional Networking: They host technical sessions and workshops on industry standards, including Process Safety (SAChE certification), which is highly valued in the global energy and manufacturing sectors.",2020-09-01,https://t.me/asce,https://www.instagram.com/asce,"Official AIChE Student Chapter at Nazarbayev University (the American Institute of Chemical Engineers) is the professional home for students focused on the large-scale application of chemical and biological processes. While ACS focuses on the fundamental science and ""lab-scale"" chemistry, AIChE is dedicated to engineering, optimization, and industrial production. Core Focus & Activities Chem-E-Car Competition: Their most famous international activity. Students design and build a shoebox-sized car powered by a chemical reaction that must carry a specific load over a given distance and stop precisely using another reaction. Industrial Site Visits: The chapter organizes trips to major industrial plants (such as oil refineries or pharmaceutical facilities) to give students a first-hand look at large-scale operations and safety protocols. K-6 Outreach: Similar to the global AIChE mission, the NU chapter engages in ""Stem-bassador"" activities, teaching basic engineering principles to younger students through hands-on experiments. Professional Networking: They host technical sessions and workshops on industry standards, including Process Safety (SAChE certification), which is highly valued in the global energy and manufacturing sectors.",Science & Research
11,65,Anime Club,cultural,animeclub@nu.edu.kz,"The following include the objectives of the club but not limited to:

Promote the anime & manga industry among the NU Community.

Provide NU students opportunities to start or continue their career path in the anime & manga industry.

Develop the idea of non-discriminative behavior raising vulnerable topics. (e.g. anti-harassment, sexism, homophobia)

Make it possible to present our own culture via the anime & manga industry.


**Location:** 27 Block 150 Room, Dormitory


## Activities
- Treasure Hunts
- Manga Coloring
- Movie Nights
- AnimeCon


## Achievements
- Contribution to socialization and networking of students
- 10% discount for NU students at GeekMarket with no expiration date
- Annual gathering of cosplayers from across Astana city to share experiences and have fun


## Entry Requirements
- Familiarity with anime and/or manga cultures
- Open for new experience",2020-09-01,https://t.me/animeclub,https://www.instagram.com/nu.anime.club/,"The following include the objectives of the club but not limited to: Promote the anime & manga industry among the NU Community. Provide NU students opportunities to start or continue their career path in the anime & manga industry. Develop the idea of non-discriminative behavior raising vulnerable topics. (e.g. anti-harassment, sexism, homophobia) Make it possible to present our own culture via the anime & manga industry. Activities Treasure Hunts Manga Coloring Movie Nights AnimeCon Achievements Contribution to socialization and networking of students 10% discount for NU students at GeekMarket with no expiration date Annual gathering of cosplayers from across Astana city to share experiences and have fun Entry Requirements Familiarity with anime and/or manga cultures Open for new experience",Arts & Creativity; Culture & Languages
12,54,Art Revolution,cultural,art.revolution@nu.edu.kz,"Art Revolution is a student-led club that unites young creatives passionate about visual arts, design, and music as powerful tools of self-expression. We explore how creativity can drive storytelling, activism, and cultural change across different mediums. Through workshops, performances, exhibitions, and collaborative projects, members develop their skills and push artistic boundaries.


**Location:** 27 block 128 Room, Dormitory


## Activities
- Instrumental Concerts
- Exhibitions
- Workshops


## Achievements
- Arts & Recreation Club of the Year 24'


## Entry Requirements
- Passionate about art
- Commitment to participation
- Basic skill in playing instrument/singing",2020-09-01,https://t.me/NUArtRevolution,https://www.instagram.com/art.revolution.nu/,"Art Revolution is a student-led club that unites young creatives passionate about visual arts, design, and music as powerful tools of self-expression. We explore how creativity can drive storytelling, activism, and cultural change across different mediums. Through workshops, performances, exhibitions, and collaborative projects, members develop their skills and push artistic boundaries. Activities Instrumental Concerts Exhibitions Workshops Achievements Arts & Recreation Club of the Year 24' Entry Requirements Passionate about art Commitment to participation Basic skill in playing instrument/singing",Arts & Creativity; Music & Performance
13,57,Art Studio,cultural,artstudio@nu.edu.kz,"We introduce people to art and give them the freedom to explore it in its entirety. Any NU student is welcome in our club room to draw, paint, or do handcrafts using university-provided art materials. You’re also invited to simply hang out with us and enjoy the supportive, creative community!


**Location:** 27 Block 147 Room, Dormitory


## Activities
- Art related workshops
- Sketching sessions
- Themed installations
- Art Exhibitions


## Achievements
- Annual spring traditional art exhibition 2025 “Love”
- 8th March Installation “Medusa”


## Entry Requirements
- Being open to new people
- Willingness to contribute to club operations",2020-09-01,https://t.me/artstudio,https://www.instagram.com/nu_art_studio/,"We introduce people to art and give them the freedom to explore it in its entirety. Any NU student is welcome in our club room to draw, paint, or do handcrafts using university-provided art materials. You’re also invited to simply hang out with us and enjoy the supportive, creative community! Activities Art related workshops Sketching sessions Themed installations Art Exhibitions Achievements Annual spring traditional art exhibition 2025 “Love” 8th March Installation “Medusa” Entry Requirements Being open to new people Willingness to contribute to club operations",Arts & Creativity
14,7,Association of Political Science Students,academic,psirassociation@nu.edu.kz,"The Official Association of Political Science Students (OAPSS) at Nazarbayev University is the premier student-led organization dedicated to fostering a robust academic and professional community for aspiring political scientists, diplomats, and policy analysts.
The association serves as a vital platform for bridging the gap between classroom theory and global political reality. Its mission is carried out through three primary pillars:
Intellectual Engagement: Hosting high-level debates, guest lectures, and seminars featuring prominent scholars, diplomats, and policymakers to deepen students' understanding of international and domestic affairs.
Professional Development: Providing networking opportunities, workshops, and career-oriented events that help students navigate the path from academia to the professional world.
Civic Awareness: Promoting critical thinking and political literacy within the university, encouraging students to engage analytically with current global trends and regional challenges.
In essence, OAPSS acts as a catalyst for leadership and research, empowering students to translate their academic insights into meaningful social and political contributions.
",2020-09-01,https://t.me/psirassociation,https://www.instagram.com/psirassociation,"The Official Association of Political Science Students (OAPSS) at Nazarbayev University is the premier student-led organization dedicated to fostering a robust academic and professional community for aspiring political scientists, diplomats, and policy analysts. The association serves as a vital platform for bridging the gap between classroom theory and global political reality. Its mission is carried out through three primary pillars: Intellectual Engagement: Hosting high-level debates, guest lectures, and seminars featuring prominent scholars, diplomats, and policymakers to deepen students' understanding of international and domestic affairs. Professional Development: Providing networking opportunities, workshops, and career-oriented events that help students navigate the path from academia to the professional world. Civic Awareness: Promoting critical thinking and political literacy within the university, encouraging students to engage analytically with current global trends and regional challenges. In essence, OAPSS acts as a catalyst for leadership and research, empowering students to translate their academic insights into meaningful social and political contributions.",Debate & Public Speaking
15,14,Association of Women in Mathematics,academic,awm@nu.edu.kz,"The Association for Women in Mathematics (AWM) at NU promotes gender equity in STEM and beyond by organizing impactful events such as networking sessions with researchers and professionals, all-female Math Competitions, and mentorship programs for female students and schoolgirls. One of our key partners is TechnoWomen, with whom we collaborate to support and inspire future women leaders in science and technology. We provide a platform where female students can grow, lead, and connect through shared experiences in science, technology, engineering, and mathematics.


## Activities
- Women Empowerment Info Sessions
- AWM Math Combat
- STEMpowerment Talks
- Lunch with PhD


## Achievements
- Nominated for Breakthrough of the Year at NU Awards
- Organized the first-ever all-female Math Combat with 14 institutions
- Partnered with TechnoWomen for leadership events


## Entry Requirements
- Passion for equity
- Open to all majors and experience levels
- Eager to learn and contribute
- Supportive of a collaborative community",2020-09-01,https://t.me/awmnu,https://www.instagram.com/awmsc.nu/,"The Association for Women in Mathematics (AWM) at NU promotes gender equity in STEM and beyond by organizing impactful events such as networking sessions with researchers and professionals, all-female Math Competitions, and mentorship programs for female students and schoolgirls. One of our key partners is TechnoWomen, with whom we collaborate to support and inspire future women leaders in science and technology. We provide a platform where female students can grow, lead, and connect through shared experiences in science, technology, engineering, and mathematics. Activities Women Empowerment Info Sessions AWM Math Combat STEMpowerment Talks Lunch with PhD Achievements Nominated for Breakthrough of the Year at NU Awards Organized the first-ever all-female Math Combat with 14 institutions Partnered with TechnoWomen for leadership events Entry Requirements Passion for equity Open to all majors and experience levels Eager to learn and contribute Supportive of a collaborative community",Science & Research
16,60,Astana Ball,cultural,astanaball@nu.edu.kz,"The Official Astana Ball at Nazarbayev University is one of the most prestigious and culturally significant student-led events at the university, blending classical elegance with a strong commitment to social responsibility.
The ball is primarily defined by its dual purpose. Organizing large events.


Charity and Community: Unlike typical gala events, the Astana Ball is fundamentally a charity evening. It serves as a platform for the NU community to support social causes, frequently partnering with organizations like the Baqytty Shańyraq foundation to assist families raising children with disabilities. +1 
Cultural Tradition: The highlight of the evening is the performance by the debutants—pairs of students who undergo months of rigorous training to master the classical waltz and polonaise. Each year, the ball adopts a unique theme (such as the 2024 Masquerade) to guide its aesthetic and performances. +1 
Student Leadership: The event is organized by the student club Astana Ball, showcasing high-level project management, event planning, and fundraising skills within the student body.  
In short, the Astana Ball is a ""symbol of beauty and charity,"" where the university's elite artistic traditions meet a collective desire to make a tangible impact on society.",2014-09-01,https://t.me/astanaball,https://www.instagram.com/astanaball,"The Official Astana Ball at Nazarbayev University is one of the most prestigious and culturally significant student-led events at the university, blending classical elegance with a strong commitment to social responsibility. The ball is primarily defined by its dual purpose. Organizing large events. Charity and Community: Unlike typical gala events, the Astana Ball is fundamentally a charity evening. It serves as a platform for the NU community to support social causes, frequently partnering with organizations like the Baqytty Shańyraq foundation to assist families raising children with disabilities. +1 Cultural Tradition: The highlight of the evening is the performance by the debutants—pairs of students who undergo months of rigorous training to master the classical waltz and polonaise. Each year, the ball adopts a unique theme (such as the 2024 Masquerade) to guide its aesthetic and performances. +1 Student Leadership: The event is organized by the student club Astana Ball, showcasing high-level project management, event planning, and fundraising skills within the student body. In short, the Astana Ball is a ""symbol of beauty and charity,"" where the university's elite artistic traditions meet a collective desire to make a tangible impact on society.",Social Impact & Volunteering; Arts & Creativity
17,78,Ballroom Dance,sports,ballroomdance@nu.edu.kz,"The Ballroom Dance Fam is a warm and inclusive community where anyone can discover the joy of ballroom dancing - absolutely free. Whether you’ve never danced before or already have experience, our club offers a supportive space to learn, practice, and have fun. No auditions, no prior skills, and no partner required - everyone is welcome!

The Ballroom Dance Club is a vibrant community for anyone passionate about dance - from complete beginners taking their first steps to seasoned dancers refining their skills. Our professional ballroom choreographers guide you through a wide variety of styles, including the Waltz, Tango, Foxtrot, Quickstep, Cha-Cha, and Rumba. Each session is designed to be engaging, approachable, and confidence-building, so you can enjoy dancing from your very first class.

You can see our fantastic performances at Astana Ball, NU Orchestra Grand Concert, NU Decides, Snowball, NU Awards, and many other events. Moreover, every year we organize our own concert, where every member who visited our club has the opportunity to shine on stage.

Whether you're an experienced dancer or a complete beginner, you'll find a friendly community and expert guidance here, because Ballroom is family! We offer regular practice sessions and workshops to help you shine on the dance floor. Discover the joy of ballroom dancing, make new friends, and create unforgettable memories with us!


**Location:** 26 Block 103 Room, Dormitory


## Activities
- Regular dance practices and technique workshops
- Choreography sessions for performances
- Social dancing events
- Annual end-of-year dance concert


## Achievements
- Performed at Prestigious Events – Featured at NU Decides, Astana Ball, NU Awards, and the NU Orchestra Grand Concert
- Organizes Themed Dance Concerts – Presented elegant performances across Waltz, Tango, Cha-Cha, and other ballroom styles
- Growth of New Dancers – Helped complete beginners become confident performers through free professional training


## Entry Requirements
- No dance experience required
- No partner needed
- No auditions or fees - all classes are free
- Open to all skill levels and backgrounds",2020-09-01,https://t.me/ballroomdance,https://www.instagram.com/nu_ballroomdance/,"The Ballroom Dance Fam is a warm and inclusive community where anyone can discover the joy of ballroom dancing - absolutely free. Whether you’ve never danced before or already have experience, our club offers a supportive space to learn, practice, and have fun. No auditions, no prior skills, and no partner required - everyone is welcome! The Ballroom Dance Club is a vibrant community for anyone passionate about dance - from complete beginners taking their first steps to seasoned dancers refining their skills. Our professional ballroom choreographers guide you through a wide variety of styles, including the Waltz, Tango, Foxtrot, Quickstep, Cha-Cha, and Rumba. Each session is designed to be engaging, approachable, and confidence-building, so you can enjoy dancing from your very first class. You can see our fantastic performances at Astana Ball, NU Orchestra Grand Concert, NU Decides, Snowball, NU Awards, and many other events. Moreover, every year we organize our own concert, where every member who visited our club has the opportunity to shine on stage. Whether you're an experienced dancer or a complete beginner, you'll find a friendly community and expert guidance here, because Ballroom is family! We offer regular practice sessions and workshops to help you shine on the dance floor. Discover the joy of ballroom dancing, make new friends, and create unforgettable memories with us! Activities Regular dance practices and technique workshops Choreography sessions for performances Social dancing events Annual end-of-year dance concert Achievements Performed at Prestigious Events – Featured at NU Decides, Astana Ball, NU Awards, and the NU Orchestra Grand Concert Organizes Themed Dance Concerts – Presented elegant performances across Waltz, Tango, Cha-Cha, and other ballroom styles Growth of New Dancers – Helped complete beginners become confident performers through free professional training Entry Requirements No dance experience required No partner needed No auditions or fees - all classes are free Open to all skill levels and backgrounds",Dance
18,68,Beine Accessory Club,cultural,beine.club@nu.edu.kz,"Beıné is a creative art activism club with a goal to turn ideas into action through art. We run hands-on workshops – from making crafts like keychains and bracelets to exploring other creative forms – with proceeds going to charity, alongside larger annual art projects and installations. Each year, we choose a theme on an important issue and share our work through exhibitions on campus and beyond. In a way, it's like our own 'annual concert', but for art and activism.


**Location:** 27 Block 147 Room, Dormitory


## Activities
- Conducting and participating in creative workshops
- Charity collaborations
- Annual art installations


## Achievements
- Raised more than 100,000 tenge for charities
- Conducted a runway photoshoot
- Organized three exhibitions, two at Upper Atrium and one at Kulanshi Art Gallery
- Conducted 10+ creative workshops for NU students


## Entry Requirements
- Interested in activism, art, and creative expression
- No need to be an artist, enough to be enthusiastic and open to learn
- Willing to participate in club workshops and events actively",2020-09-01,https://t.me/beine.club,https://www.instagram.com/beine.club/,"Beıné is a creative art activism club with a goal to turn ideas into action through art. We run hands-on workshops – from making crafts like keychains and bracelets to exploring other creative forms – with proceeds going to charity, alongside larger annual art projects and installations. Each year, we choose a theme on an important issue and share our work through exhibitions on campus and beyond. In a way, it's like our own 'annual concert', but for art and activism. Activities Conducting and participating in creative workshops Charity collaborations Annual art installations Achievements Raised more than 100,000 tenge for charities Conducted a runway photoshoot Organized three exhibitions, two at Upper Atrium and one at Kulanshi Art Gallery Conducted 10+ creative workshops for NU students Entry Requirements Interested in activism, art, and creative expression No need to be an artist, enough to be enthusiastic and open to learn Willing to participate in club workshops and events actively",Arts & Creativity; Social Impact & Volunteering
19,81,Belly Dance,sports,bellydance@nu.edu.kz,"The Official Belly Dance Club at Nazarbayev University is a creative and athletic organization dedicated to the art of Middle Eastern dance. It provides a space where students can explore cultural expression through movement while improving their physical fitness and confidence.
The club focuses on several core pillars of the art form:
Technique and Artistry: Training members in the fundamental isolations, shimmies, and fluid movements characteristic of Raqs Sharqi (Oriental Dance). Workshops often cover different styles, from classical Egyptian to tribal fusion.
Physical Conditioning: Belly dance is an excellent low-impact workout. The club emphasizes core strength, flexibility, and posture, making it a popular choice for students looking for an alternative to traditional gym routines.
Performance and Choreography: Members work together to create intricate group choreographies for university-wide events, cultural festivals, and talent showcases, fostering teamwork and stage presence.
Cultural Appreciation: Beyond the dance itself, the club educates members on the history, music, and diverse cultural backgrounds of the Middle East, ensuring the art form is practiced with respect and understanding.
",2020-09-01,https://t.me/nu_bellydance,https://www.instagram.com/nu_bellydance,"The Official Belly Dance Club at Nazarbayev University is a creative and athletic organization dedicated to the art of Middle Eastern dance. It provides a space where students can explore cultural expression through movement while improving their physical fitness and confidence. The club focuses on several core pillars of the art form: Technique and Artistry: Training members in the fundamental isolations, shimmies, and fluid movements characteristic of Raqs Sharqi (Oriental Dance). Workshops often cover different styles, from classical Egyptian to tribal fusion. Physical Conditioning: Belly dance is an excellent low-impact workout. The club emphasizes core strength, flexibility, and posture, making it a popular choice for students looking for an alternative to traditional gym routines. Performance and Choreography: Members work together to create intricate group choreographies for university-wide events, cultural festivals, and talent showcases, fostering teamwork and stage presence. Cultural Appreciation: Beyond the dance itself, the club educates members on the history, music, and diverse cultural backgrounds of the Middle East, ensuring the art form is practiced with respect and understanding.",Dance
20,32,BioExplorer,academic,bioexplorer@nu.edu.kz,"From thought-provoking discussions and guest speakers to biology-themed games and chill study sessions, we turn interest into impact. Whether you're obsessed with the logic behind life, fascinated by biology’s strangest exceptions, or just here for the vibes and cool facts, there’s a place for you. We’re here to make biology exciting, approachable, and a little chaotic in the best way.


**Location:** 27 Block 144 Room, Dormitory


## Activities
- Biology Week
- Biology Majors Teambuilding
- BioExplorer Talks


## Achievements
- Host two major events each year connecting students with professors, and maintain an active, student-led community through discussions and workshops.


## Entry Requirements
- All levels are welcome!",2022-09-01,https://t.me/bioexplorer,https://www.instagram.com/bioexplorer_nu/,"From thought-provoking discussions and guest speakers to biology-themed games and chill study sessions, we turn interest into impact. Whether you're obsessed with the logic behind life, fascinated by biology’s strangest exceptions, or just here for the vibes and cool facts, there’s a place for you. We’re here to make biology exciting, approachable, and a little chaotic in the best way. Activities Biology Week Biology Majors Teambuilding BioExplorer Talks Achievements Host two major events each year connecting students with professors, and maintain an active, student-led community through discussions and workshops. Entry Requirements All levels are welcome!",Science & Research
